s2id,label,anchor_group,lat,lon
106ef3fb,"AKPO NIGERIA,NGA",326,3.162481859890374,6.827774928613308
106f3653,"USAN,NGA",327,3.5936446220760634,7.402656622374428
106f37a7,"USAN,NGA",327,3.57844660588726,7.3963933557181285
107641dd,"SAO TOME,STP",328,0.35093574694487584,6.757490430342682
107cf78d,"BATA,GNQ",330,1.827193868866589,9.714765613965866
107cf839,"BATA,GNQ",330,1.831290816898397,9.741082554504906
107cf823,"BATA,GNQ",330,1.8255304007130078,9.733414165353484
107cf78f,"BATA,GNQ",330,1.8317814212541805,9.71479179128089
107cf83f,"BATA,GNQ",330,1.826292185386373,9.740486670798253
107cf795,"BATA,GNQ",330,1.827094687507507,9.704324810813178
107cf79b,"BATA,GNQ",330,1.8368747469942097,9.70975566025327
107cf819,"BATA,GNQ",330,1.8229579180782862,9.733201411379495
107cf817,"BATA,GNQ",330,1.8231148897882967,9.736475022571575
107cf7ed,"BATA,GNQ",330,1.8228779520787652,9.709243418547906
107cf79d,"BATA,GNQ",330,1.8413938190094226,9.709373817774019
107cf797,"BATA,GNQ",330,1.8316849666495205,9.70331039927975
107cf789,"BATA,GNQ",330,1.8314323911671457,9.719878676285429
107cf83d,"BATA,GNQ",330,1.825590430352139,9.736049172872418
107cf815,"BATA,GNQ",330,1.8236825368083571,9.740930746822904
107cf793,"BATA,GNQ",330,1.827249044676413,9.70974454340542
107cf785,"BATA,GNQ",330,1.8368040844111604,9.714690041750151
107cf791,"BATA,GNQ",330,1.8324888332865372,9.70998569631362
107f3865,"OWENDO,GAB",331,0.3073612884748443,9.403798134813847
107f4749,"LIBREVILLE,GAB",331,0.27956709057454754,9.447588771382428
107f3863,"LIBREVILLE,GAB",331,0.3071330518919935,9.409342817107165
107f387d,"LIBREVILLE,GAB",331,0.3027778833659978,9.409651888562275
107f477b,"LIBREVILLE,GAB",331,0.2892977179683994,9.420643603203027
107f3849,"LIBREVILLE,GAB",331,0.3257102708908306,9.392340876372778
107f3867,"LIBREVILLE,GAB",331,0.3117870701715142,9.404133247185314
107f3845,"LIBREVILLE,GAB",331,0.3212673930749522,9.398071477603294
107f4763,"LIBREVILLE,GAB",331,0.29326725136428294,9.425617273326441
107f477d,"LIBREVILLE,GAB",331,0.293563292399546,9.420378884978632
107f39b5,"LIBREVILLE,GAB",331,0.334479454532174,9.391706565830217
107f384f,"LIBREVILLE,GAB",331,0.3252279253839631,9.397705346776176
107f385b,"LIBREVILLE,GAB",331,0.3207007321356548,9.403159407735727
107f388f,"LIBREVILLE,GAB",331,0.30724934183729,9.4194027284159
107f389d,"LIBREVILLE,GAB",331,0.29761017542636214,9.42532233859284
107f4765,"LIBREVILLE,GAB",331,0.288730888613311,9.425573992665996
107f385f,"LIBREVILLE,GAB",331,0.3159084260250508,9.408457984097852
107f4745,"LIBREVILLE,GAB",331,0.2835881977507285,9.442474556310835
107f389b,"LIBREVILLE,GAB",331,0.30251789496822673,9.425438914367342
107f475f,"LIBREVILLE,GAB",331,0.293161852682379,9.43667967006146
107f3885,"LIBREVILLE,GAB",331,0.3025005702599559,9.419768237429704
107f39cb,"LIBREVILLE,GAB",331,0.3346648370756102,9.387023803236488
107f385d,"LIBREVILLE,GAB",331,0.3166355033592064,9.403206799439662
107f3861,"LIBREVILLE,GAB",331,0.3117681206134178,9.408802193408826
107f3881,"LIBREVILLE,GAB",331,0.2981433545457764,9.414967928197957
107f384b,"LIBREVILLE,GAB",331,0.33010117620761636,9.39169087647186
107f3887,"LIBREVILLE,GAB",331,0.3026904071214017,9.414336989768437
107f475b,"LIBREVILLE,GAB",331,0.2881800134375105,9.442542783021654
107f4089,"PORT OWENDO,GAB",332,0.28478739740969933,9.499411088065585
107f408f,"PORT OWENDO,GAB",332,0.28387063598421775,9.493316389185347
107f4063,"PORT OWENDO,GAB",332,0.28396646987084784,9.502854220682414
1255655b,"GABES,TUN",333,33.923414193629625,10.096012242418599
12556561,"GABES,TUN",333,33.92050504512144,10.103627103768577
1255667d,"GABES,TUN",334,33.95098541645397,10.178210368354426
12556687,"GABES,TUN",334,33.955007941086976,10.178447943787555
125565c7,"GABES,TUN",334,33.94217906580642,10.150917367089644
125565cf,"GABES,TUN",334,33.94598620665591,10.156609192164497
12820117,"MOSTAGANEM,DZA",335,35.97774129697064,0.04944102824099311
128e4cef,"ALGER,DZA",337,36.79779965842818,3.1252060407173134
128fb343,"ALGER,DZA",337,36.81524091253675,3.080441213236613
128e4cb3,"ALGER,DZA",337,36.81268468270127,3.100049580773664
12978e77,"CRUISING MALLORCA,ESP",350,39.53572526734075,2.592178337015543
12979213,"PALMA DE MALLORCA,ESP",350,39.558625427064946,2.629582338362482
1297926b,"PALMA DE MALLORCA,ESP",350,39.563749536316344,2.6363595970039055
12979205,"PALMA DE MALLORCA,ESP",350,39.547073981309666,2.6255571264543573
